type,device_count,status,customer_locale,announcement_type,media_size_(bites),text_length_(characters),timestamp,dsn
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:15,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:17,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:37,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:29,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:27:43,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:27:34,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:27:34,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:32,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:33:43,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:33:44,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2023-02-01 20:33:53,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:16,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:32,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:27:58,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:29,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:29,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:05,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:37,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:05,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:41,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:15,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:37,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:16,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:31,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:30,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:28,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:27,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:05,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:30,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:04,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:04,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:17,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:05,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:41,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:25,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:30,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-15 18:08:25,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:27:58,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:42,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:30,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:27:58,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:37,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:04,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 22:33:04,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:29,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:27,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:07:28,G8M11M11043602FD
Audio,1,['DeviceDoNotDisturb'],NO_DATA_FOUND,announcement/audio,NO_DATA_FOUND,NO_DATA_FOUND,2021-08-25 18:09:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:41,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:28:42,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:31,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-03-16 14:27:58,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:41,G8M11M11043602FD
NO_DATA_FOUND,1,[],NO_DATA_FOUND,announcement/text,NO_DATA_FOUND,NO_DATA_FOUND,2021-06-09 02:14:31,G8M11M11043602FD
